variant,M,N,tile,nthreads,rep,time_s,bw_gbs,checksum,status
row_major,16384,16384,0,96,0,0.145712139,58.951,2.681670e+09,PASS
row_major,16384,16384,0,96,1,0.145420208,59.070,2.681670e+09,PASS
row_major,16384,16384,0,96,2,0.145050055,59.220,2.681670e+09,PASS
row_major,16384,16384,0,96,3,0.145313037,59.113,2.681670e+09,PASS
row_major,16384,16384,0,96,4,0.144957874,59.258,2.681670e+09,PASS
row_major,16384,16384,0,96,5,0.145048305,59.221,2.681670e+09,PASS
row_major,16384,16384,0,96,6,0.144999035,59.241,2.681670e+09,PASS
row_major,16384,16384,0,96,7,0.145143376,59.182,2.681670e+09,PASS
row_major,16384,16384,0,96,8,0.145221376,59.151,2.681670e+09,PASS
row_major,16384,16384,0,96,9,0.145119026,59.192,2.681670e+09,PASS
row_major,16384,16384,0,96,10,0.144923555,59.272,2.681670e+09,PASS
row_major,16384,16384,0,96,11,0.145058396,59.217,2.681670e+09,PASS
row_major,16384,16384,0,96,12,0.145135136,59.186,2.681670e+09,PASS
row_major,16384,16384,0,96,13,0.144811194,59.318,2.681670e+09,PASS
row_major,16384,16384,0,96,14,0.145556139,59.015,2.681670e+09,PASS
row_major,16384,16384,0,96,15,0.144906265,59.279,2.681670e+09,PASS
row_major,16384,16384,0,96,16,0.145471098,59.049,2.681670e+09,PASS
row_major,16384,16384,0,96,17,0.144867104,59.295,2.681670e+09,PASS
row_major,16384,16384,0,96,18,0.145141176,59.183,2.681670e+09,PASS
row_major,16384,16384,0,96,19,0.145114006,59.194,2.681670e+09,PASS
row_major,16384,16384,0,96,20,0.144987115,59.246,2.681670e+09,PASS
row_major,16384,16384,0,96,21,0.145429348,59.066,2.681670e+09,PASS
row_major,16384,16384,0,96,22,0.145343107,59.101,2.681670e+09,PASS
row_major,16384,16384,0,96,23,0.145152976,59.178,2.681670e+09,PASS
row_major,16384,16384,0,96,24,0.145050586,59.220,2.681670e+09,PASS
row_major,16384,16384,0,96,25,0.145171716,59.171,2.681670e+09,PASS
row_major,16384,16384,0,96,26,0.145087855,59.205,2.681670e+09,PASS
row_major,16384,16384,0,96,27,0.145235896,59.145,2.681670e+09,PASS
row_major,16384,16384,0,96,28,0.145005025,59.239,2.681670e+09,PASS
row_major,16384,16384,0,96,29,0.144601252,59.404,2.681670e+09,PASS
row_major,16384,16384,0,96,30,0.145199876,59.159,2.681670e+09,PASS
row_major,16384,16384,0,96,31,0.144906015,59.279,2.681670e+09,PASS
row_major,16384,16384,0,96,32,0.145605779,58.994,2.681670e+09,PASS
row_major,16384,16384,0,96,33,0.144734394,59.350,2.681670e+09,PASS
row_major,16384,16384,0,96,34,0.145022754,59.232,2.681670e+09,PASS
row_major,16384,16384,0,96,35,0.145913801,58.870,2.681670e+09,PASS
row_major,16384,16384,0,96,36,0.144727183,59.353,2.681670e+09,PASS
row_major,16384,16384,0,96,37,0.144953205,59.260,2.681670e+09,PASS
row_major,16384,16384,0,96,38,0.145135986,59.185,2.681670e+09,PASS
row_major,16384,16384,0,96,39,0.144980025,59.249,2.681670e+09,PASS
