variant,N,TB,SB,MT,threads,med_time_ms,std_time_ms,p5_time_ms,p95_time_ms,min_gbs,med_gbs,max_gbs,pct_peak_bw,status
locbuf_blk_mt_c2_nd,16384,64,16,16,288,1.9780,0.5357,1.8391,3.7721,517.1,1085.7,1227.1,224.5,PASS
locbuf_blk_mt_c2_nd,16384,64,128,32,288,2.0185,0.8309,1.9729,4.7929,412.1,1063.9,1095.0,220.0,PASS
locbuf_blk_mt_c2_nd,16384,64,256,16,288,2.0624,0.5494,1.9759,3.2482,400.9,1041.2,1097.9,215.4,PASS
locbuf_blk_c2_nd,16384,64,16,8,288,2.1044,0.3839,1.9331,3.1509,498.4,1020.5,1137.4,211.1,PASS
locbuf_blk_mt_c2_nd,16384,64,32,16,288,2.1061,0.5898,1.9311,3.7203,406.8,1019.7,1129.7,210.9,PASS
locbuf_blk_mt_c2_nd,16384,64,128,16,288,2.1191,0.5453,1.9950,3.4958,442.9,1013.4,1107.5,209.6,PASS
locbuf_blk_mt_nd,16384,64,8,8,288,2.1236,0.3934,1.9984,2.5576,453.7,1011.2,1106.9,209.2,PASS
locbuf_blk_mt_c2_nd,16384,64,8,8,288,2.1355,0.5538,2.0360,3.4941,395.9,1005.6,1066.8,208.0,PASS
locbuf_blk_c2_nd,16384,64,8,8,288,2.1410,0.2928,2.0398,3.0153,586.4,1003.0,1060.5,207.5,PASS
locbuf_blk_nd,16384,64,8,8,288,2.1625,0.4509,2.0439,3.6269,477.5,993.1,1063.2,205.4,PASS
locbuf_blk_mt_c2_nd,16384,64,8,4,288,2.2240,0.6935,2.1071,3.2834,276.3,965.6,1039.4,199.7,PASS
locbuf_blk_c2_nd,16384,64,32,8,288,2.2361,0.4254,2.1098,2.7882,445.0,960.4,1032.5,198.6,PASS
locbuf_blk_mt_c2_nd,16384,64,32,32,288,2.2399,4.1257,2.0660,4.0692,49.5,958.7,1074.8,198.3,PASS
locbuf_blk_mt_c2_nd,16384,64,64,16,288,2.2780,0.7708,2.1216,4.1910,289.5,942.7,1038.9,195.0,PASS
locbuf_blk_c2_nd,16384,64,64,8,288,2.3240,0.5315,2.0967,3.8109,432.9,924.1,1057.8,191.1,PASS
locbuf_blk_c2_nd,16384,64,256,8,288,2.3429,0.4318,2.1922,3.3730,476.5,916.6,999.4,189.6,PASS
hptt_patient_blk,16384,0,256,0,288,2.4481,0.6813,2.3240,4.5498,380.4,877.2,934.8,181.4,PASS
locbuf_blk_c2_nd,16384,64,128,8,288,2.4580,0.3601,2.2718,3.3733,535.7,873.7,992.4,180.7,PASS
locbuf_blk_mt_c2_nd,16384,64,256,32,288,2.4645,2.3111,2.2650,4.6296,85.8,871.4,974.0,180.2,PASS
locbuf_blk_mt_nd,16384,64,8,4,288,2.5530,0.2241,2.4387,2.8819,538.9,841.2,887.3,174.0,PASS
locbuf_blk_mt_c2_nd,16384,64,64,32,288,2.6305,0.5772,2.4782,3.8402,356.1,816.4,960.4,168.8,PASS
hptt_blk,16384,0,128,0,288,2.6355,0.7452,2.4819,4.6137,334.5,814.8,871.2,168.5,PASS
hptt_patient_blk,16384,0,32,0,288,2.6746,0.8918,2.5694,5.3331,337.9,802.9,853.8,166.1,PASS
hptt_blk,16384,0,64,0,288,2.7080,0.5525,2.6088,4.1023,369.9,793.0,832.1,164.0,PASS
locbuf_blk_c2_nd,16384,64,512,8,288,2.8070,0.7915,2.7138,4.5902,237.0,765.0,800.4,158.2,PASS
locbuf_blk_mt_c2_nd,16384,64,512,16,288,2.8415,2.7824,2.7050,4.8870,71.2,755.8,821.2,156.3,PASS
locbuf_blk_mt_c2_nd,16384,64,512,32,288,2.8466,0.6857,2.6960,4.7015,326.9,754.4,807.0,156.0,PASS
blk_aligned_c2_nd,16384,64,128,8,288,2.8665,0.9686,2.8177,5.3308,253.4,749.2,769.4,154.9,PASS
blk_aligned_mt_c2_nd,16384,64,32,8,288,2.9590,1.0368,2.8986,5.7362,240.4,725.7,747.5,150.1,PASS
blk_aligned_mt_c2_nd,16384,64,128,4,288,2.9711,1.0464,2.8281,4.7204,244.0,722.8,768.1,149.5,PASS
blk_tiled_c2_nd,16384,64,64,8,288,2.9734,1.0118,2.8878,5.1314,216.9,722.2,748.5,149.4,PASS
blk_aligned_mt_c2_nd,16384,64,256,4,288,2.9809,0.8017,2.9390,4.8380,290.6,720.4,734.7,149.0,PASS
blk_aligned_mt_c2_nd,16384,64,64,32,288,2.9874,0.9780,2.9418,5.9292,315.2,718.9,735.2,148.7,PASS
blk_aligned_mt_c2_nd,16384,64,32,32,288,3.0004,0.9018,2.9530,5.8640,309.0,715.7,731.5,148.0,PASS
blk_aligned_c2_nd,16384,64,32,8,288,3.0088,0.7036,2.9698,5.0548,345.7,713.7,727.0,147.6,PASS
blk_aligned_c2_nd,16384,64,256,8,288,3.0155,1.0647,2.9730,5.9962,255.8,712.1,727.7,147.3,PASS
locbuf_blk_mt_c2_nd,16384,64,32,8,288,3.0416,0.7770,2.8969,5.0566,341.6,706.0,743.6,146.0,PASS
locbuf_blk_mt_nd,16384,64,16,16,288,3.0460,0.5999,2.7907,4.5330,337.7,705.0,824.0,145.8,PASS
locbuf_blk_nd,16384,64,16,8,288,3.1254,0.3737,2.9143,4.0264,394.1,687.1,776.7,142.1,PASS
locbuf_blk_mt_c2_nd,16384,64,64,8,288,3.1281,1.8320,3.0329,6.6472,162.5,686.5,716.3,142.0,PASS
