layout,schedule,SB,N,B,mu,delta,mu_delta
row_major,naive,0,16384,16,1.062439,1247.908186,1325.826281
row_major,tiled,8,16384,16,1.124924,1439.724642,1619.580380
row_major,tiled,16,16384,16,1.062431,1487.479667,1580.345009
row_major,tiled,32,16384,16,1.062439,1494.953470,1588.296818
row_major,tiled,64,16384,16,1.062439,1497.957470,1591.488384
row_major,tiled,128,16384,16,1.062439,1497.969497,1591.501162
row_major,blk_aligned,8,16384,16,1.124924,1439.724642,1619.580380
row_major,blk_aligned,16,16384,16,1.062431,1487.479667,1580.345009
row_major,blk_aligned,32,16384,16,1.062439,1494.953470,1588.296818
row_major,blk_aligned,64,16384,16,1.062439,1497.957470,1591.488384
row_major,blk_aligned,128,16384,16,1.062439,1497.969497,1591.501162
blocked,blk_aligned,8,16384,16,0.562424,96.546806,54.300213
blocked,blk_aligned,16,16384,16,1.062431,49.284996,52.361924
blocked,blk_aligned,32,16384,16,1.062439,26.750137,28.420388
blocked,blk_aligned,64,16384,16,1.062439,17.684132,18.788311
blocked,blk_aligned,128,16384,16,1.062439,17.547542,18.643192
blocked,naive,8,16384,16,0.624939,768.124931,480.031199
blocked,naive,16,16384,16,1.062439,768.406349,816.384846
blocked,naive,32,16384,16,1.062439,768.875769,816.883576
blocked,naive,64,16384,16,1.062439,769.816079,817.882598
blocked,naive,128,16384,16,1.062439,771.702564,819.886873
