variant,experiment,ny,nx,tpb,coarsen,rep,time_ms
aos_scatter,qe,225001,110273,24,1,0,0.090131
aos_scatter,qe,225001,110273,24,1,1,0.074091
aos_scatter,qe,225001,110273,24,1,2,0.075990
aos_scatter,qe,225001,110273,24,1,3,0.074371
aos_scatter,qe,225001,110273,24,1,4,0.075530
aos_scatter,qe,225001,110273,24,1,5,0.075421
aos_scatter,qe,225001,110273,24,1,6,0.076041
aos_scatter,qe,225001,110273,24,1,7,0.074441
aos_scatter,qe,225001,110273,24,1,8,0.073930
aos_scatter,qe,225001,110273,24,1,9,0.074720
aos_scatter,qe,225001,110273,24,1,10,0.074290
aos_scatter,qe,225001,110273,24,1,11,0.074591
aos_scatter,qe,225001,110273,24,1,12,0.074541
aos_scatter,qe,225001,110273,24,1,13,0.074740
aos_scatter,qe,225001,110273,24,1,14,0.075491
aos_scatter,qe,225001,110273,24,1,15,0.075420
aos_scatter,qe,225001,110273,24,1,16,0.072311
aos_scatter,qe,225001,110273,24,1,17,0.073141
aos_scatter,qe,225001,110273,24,1,18,0.075120
aos_scatter,qe,225001,110273,24,1,19,0.075061
aos_scatter,qe,225001,110273,24,1,20,0.073761
aos_scatter,qe,225001,110273,24,1,21,0.075570
aos_scatter,qe,225001,110273,24,1,22,0.074521
aos_scatter,qe,225001,110273,24,1,23,0.074760
aos_scatter,qe,225001,110273,24,1,24,0.076041
aos_scatter,qe,225001,110273,24,1,25,0.074481
aos_scatter,qe,225001,110273,24,1,26,0.074321
aos_scatter,qe,225001,110273,24,1,27,0.074381
aos_scatter,qe,225001,110273,24,1,28,0.075121
aos_scatter,qe,225001,110273,24,1,29,0.075470
aos_scatter,qe,225001,110273,24,1,30,0.075881
aos_scatter,qe,225001,110273,24,1,31,0.090190
aos_scatter,qe,225001,110273,24,1,32,0.074581
aos_scatter,qe,225001,110273,24,1,33,0.073451
aos_scatter,qe,225001,110273,24,1,34,0.075110
aos_scatter,qe,225001,110273,24,1,35,0.075381
aos_scatter,qe,225001,110273,24,1,36,0.074970
aos_scatter,qe,225001,110273,24,1,37,0.082211
aos_scatter,qe,225001,110273,24,1,38,0.074931
aos_scatter,qe,225001,110273,24,1,39,0.073431
aos_scatter,qe,225001,110273,24,1,40,0.074251
aos_scatter,qe,225001,110273,24,1,41,0.076280
aos_scatter,qe,225001,110273,24,1,42,0.075980
aos_scatter,qe,225001,110273,24,1,43,0.073591
aos_scatter,qe,225001,110273,24,1,44,0.077210
aos_scatter,qe,225001,110273,24,1,45,0.074541
aos_scatter,qe,225001,110273,24,1,46,0.076080
aos_scatter,qe,225001,110273,24,1,47,0.090500
aos_scatter,qe,225001,110273,24,1,48,0.075170
aos_scatter,qe,225001,110273,24,1,49,0.075800
aos_scatter,qe,225001,110273,24,1,50,0.075671
aos_scatter,qe,225001,110273,24,1,51,0.074160
aos_scatter,qe,225001,110273,24,1,52,0.076800
aos_scatter,qe,225001,110273,24,1,53,0.075361
aos_scatter,qe,225001,110273,24,1,54,0.074860
aos_scatter,qe,225001,110273,24,1,55,0.075011
aos_scatter,qe,225001,110273,24,1,56,0.074281
aos_scatter,qe,225001,110273,24,1,57,0.074801
aos_scatter,qe,225001,110273,24,1,58,0.083760
aos_scatter,qe,225001,110273,24,1,59,0.075670
aos_scatter,qe,225001,110273,24,1,60,0.075760
aos_scatter,qe,225001,110273,24,1,61,0.074360
aos_scatter,qe,225001,110273,24,1,62,0.076240
aos_scatter,qe,225001,110273,24,1,63,0.074000
aos_scatter,qe,225001,110273,24,1,64,0.076211
aos_scatter,qe,225001,110273,24,1,65,0.072791
