backend,variant,nlev,N_e,N_c,N_v,cell_dist,config_label,TX,TY,BX,BY,run_id,time_ms
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,0,0.230801
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,1,0.213201
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,2,0.214721
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,3,0.213721
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,4,0.212401
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,5,0.214562
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,6,0.213121
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,7,0.212121
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,8,0.212721
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,9,0.214081
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,10,0.210961
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,11,0.207962
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,12,0.205201
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,13,0.204921
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,14,0.207361
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,15,0.207082
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,16,0.204281
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,17,0.202241
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,18,0.205481
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,19,0.206082
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,20,0.205520
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,21,0.205801
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,22,0.205681
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,23,0.205561
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,24,0.204681
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,25,0.206281
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,26,0.205600
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,27,0.206842
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,28,0.207560
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,29,0.206042
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,30,0.206920
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,31,0.207841
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,32,0.207200
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,33,0.207642
gpu,1,96,122880,81920,81920,exact,1x1_256x1,1,1,256,1,34,0.208200
