backend,V,nlev,N_e,cell_dist,layout,schedule,run_id,time_ms
cpu,1,256,163840,uniform,V1,jk_outer,0,0.396222
cpu,1,256,163840,uniform,V1,jk_outer,1,0.363432
cpu,1,256,163840,uniform,V1,jk_outer,2,0.344412
cpu,1,256,163840,uniform,V1,jk_outer,3,0.346892
cpu,1,256,163840,uniform,V1,jk_outer,4,0.345262
cpu,1,256,163840,uniform,V1,jk_outer,5,0.345962
cpu,1,256,163840,uniform,V1,jk_outer,6,0.365763
cpu,1,256,163840,uniform,V1,jk_outer,7,0.492363
cpu,1,256,163840,uniform,V1,jk_outer,8,0.349222
cpu,1,256,163840,uniform,V1,jk_outer,9,0.344662
cpu,1,256,163840,uniform,V1,jk_outer,10,0.344062
cpu,1,256,163840,uniform,V1,jk_outer,11,0.345022
cpu,1,256,163840,uniform,V1,jk_outer,12,0.345302
cpu,1,256,163840,uniform,V1,jk_outer,13,0.342522
cpu,1,256,163840,uniform,V1,jk_outer,14,0.344393
cpu,1,256,163840,uniform,V1,jk_outer,15,0.344572
cpu,1,256,163840,uniform,V1,jk_outer,16,0.342702
cpu,1,256,163840,uniform,V1,jk_outer,17,0.342162
cpu,1,256,163840,uniform,V1,jk_outer,18,0.450773
cpu,1,256,163840,uniform,V1,jk_outer,19,0.343582
cpu,1,256,163840,uniform,V1,jk_outer,20,0.374703
cpu,1,256,163840,uniform,V1,jk_outer,21,0.344942
cpu,1,256,163840,uniform,V1,jk_outer,22,0.344182
cpu,1,256,163840,uniform,V1,jk_outer,23,0.348363
cpu,1,256,163840,uniform,V1,jk_outer,24,0.343612
cpu,1,256,163840,uniform,V1,jk_outer,25,0.345652
cpu,1,256,163840,uniform,V1,jk_outer,26,0.341842
cpu,1,256,163840,uniform,V1,jk_outer,27,0.343282
cpu,1,256,163840,uniform,V1,jk_outer,28,0.344722
cpu,1,256,163840,uniform,V1,jk_outer,29,0.343062
cpu,1,256,163840,uniform,V1,jk_outer,30,0.361113
cpu,1,256,163840,uniform,V1,jk_outer,31,0.343212
cpu,1,256,163840,uniform,V1,jk_outer,32,0.344712
cpu,1,256,163840,uniform,V1,jk_outer,33,0.419143
cpu,1,256,163840,uniform,V1,jk_outer,34,0.462033
cpu,1,256,163840,uniform,V1,jk_outer,35,0.358952
cpu,1,256,163840,uniform,V1,jk_outer,36,0.344192
cpu,1,256,163840,uniform,V1,jk_outer,37,0.345002
cpu,1,256,163840,uniform,V1,jk_outer,38,0.374102
cpu,1,256,163840,uniform,V1,jk_outer,39,0.367632
cpu,1,256,163840,uniform,V1,jk_outer,40,0.342112
cpu,1,256,163840,uniform,V1,jk_outer,41,0.389503
cpu,1,256,163840,uniform,V1,jk_outer,42,0.438622
cpu,1,256,163840,uniform,V1,jk_outer,43,0.354752
cpu,1,256,163840,uniform,V1,jk_outer,44,0.535273
cpu,1,256,163840,uniform,V1,jk_outer,45,0.349673
cpu,1,256,163840,uniform,V1,jk_outer,46,0.442483
cpu,1,256,163840,uniform,V1,jk_outer,47,0.386672
cpu,1,256,163840,uniform,V1,jk_outer,48,0.387703
cpu,1,256,163840,uniform,V1,jk_outer,49,0.412603
cpu,1,256,163840,uniform,V1,jk_outer,50,0.493813
cpu,1,256,163840,uniform,V1,jk_outer,51,0.402102
cpu,1,256,163840,uniform,V1,jk_outer,52,0.413412
cpu,1,256,163840,uniform,V1,jk_outer,53,0.393402
cpu,1,256,163840,uniform,V1,jk_outer,54,0.492793
cpu,1,256,163840,uniform,V1,jk_outer,55,0.438943
cpu,1,256,163840,uniform,V1,jk_outer,56,0.464043
cpu,1,256,163840,uniform,V1,jk_outer,57,0.428632
cpu,1,256,163840,uniform,V1,jk_outer,58,0.502863
cpu,1,256,163840,uniform,V1,jk_outer,59,0.366202
cpu,1,256,163840,uniform,V1,jk_outer,60,0.436803
cpu,1,256,163840,uniform,V1,jk_outer,61,0.412313
