nlev,variant,blocking,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,1,0,0,omp_for,cpu_avx512,64,8,5.000000,1.000000,1.000000,1.000000,5.000000,5.000000,0.000000,0.6000,0.4000,0.0500,4,614400
90,3,0,0,omp_for,gpu_warp32,128,32,14.375000,4.687329,4.687329,6.562231,67.380356,67.380356,0.000000,0.6000,0.4000,0.0500,4,81920
90,1,0,0,omp_for,cpu_scalar,64,1,0.625000,0.125000,0.125000,0.125000,0.078125,0.078125,0.000000,0.6000,0.4000,0.0500,4,4915200
90,2,0,0,omp_for,cpu_avx512,64,8,5.000000,1.000000,1.000000,1.000000,5.000000,5.000000,0.000000,0.6000,0.4000,0.0500,4,614400
90,3,0,0,omp_for,cpu_scalar,64,1,0.687500,0.187498,0.187498,0.187498,0.128905,0.128905,0.000000,0.6000,0.4000,0.0500,4,4915200
90,2,0,0,omp_for,cpu_scalar,64,1,0.625000,0.125000,0.125000,0.125000,0.078125,0.078125,0.000000,0.6000,0.4000,0.0500,4,4915200
90,3,0,0,omp_for,gpu_scalar,128,1,0.385417,0.093749,0.093749,0.093749,0.036132,0.036132,0.000000,0.6000,0.4000,0.0500,4,4915200
90,1,0,0,omp_for,gpu_warp32,128,32,10.000000,1.499990,1.499990,2.499970,14.999900,14.999900,0.000000,0.6000,0.4000,0.0500,4,153600
90,4,0,0,omp_for,cpu_avx512,64,8,5.535714,1.553544,1.553544,2.303537,8.599973,8.599973,0.000000,0.6000,0.4000,0.0500,4,573440
90,4,0,0,omp_for,gpu_warp32,128,32,14.375000,4.687329,4.687329,6.562231,67.380356,67.380356,0.000000,0.6000,0.4000,0.0500,4,81920
90,3,0,0,omp_for,cpu_avx512,64,8,5.535714,1.553544,1.553544,2.303537,8.599973,8.599973,0.000000,0.6000,0.4000,0.0500,4,573440
90,4,0,0,omp_for,gpu_scalar,128,1,0.385417,0.093749,0.093749,0.093749,0.036132,0.036132,0.000000,0.6000,0.4000,0.0500,4,4915200
90,1,0,0,omp_for,gpu_scalar,128,1,0.312500,0.062500,0.062500,0.062500,0.019531,0.019531,0.000000,0.6000,0.4000,0.0500,4,4915200
90,2,0,0,omp_for,gpu_scalar,128,1,0.312500,0.062500,0.062500,0.062500,0.019531,0.019531,0.000000,0.6000,0.4000,0.0500,4,4915200
90,2,0,0,omp_for,gpu_warp32,128,32,10.000000,1.499990,1.499990,2.499970,14.999900,14.999900,0.000000,0.6000,0.4000,0.0500,4,153600
90,4,0,0,omp_for,cpu_scalar,64,1,0.687500,0.187498,0.187498,0.187498,0.128905,0.128905,0.000000,0.6000,0.4000,0.0500,4,4915200
90,0,8,0,omp_for,cpu_scalar,64,1,5.000000,1.499805,1.499805,1.499805,7.499023,7.499023,0.009766,0.6000,0.4000,0.0500,4,614400
90,0,16,0,omp_for,gpu_warp32,128,32,5.000000,1.499609,1.499609,1.499609,7.498047,7.498047,0.019531,0.6000,0.4000,0.0500,4,307200
90,0,16,0,omp_collapse2,cpu_scalar,64,1,10.000000,2.499212,2.499212,3.499199,24.992122,24.992122,0.019531,0.6000,0.4000,0.0500,4,307200
90,0,64,0,omp_collapse2,gpu_warp32,128,32,20.000000,4.493672,4.493672,7.493516,89.873438,89.873438,0.078125,0.6000,0.4000,0.0500,4,76800
90,0,128,0,omp_for,cpu_scalar,64,1,80.000000,16.449219,16.449219,31.447656,1315.937500,1315.937500,0.156250,0.6000,0.4000,0.0500,4,38400
90,0,128,0,omp_for,gpu_scalar,128,1,40.000000,8.474635,8.474635,15.473906,338.985417,338.985417,0.156250,0.6000,0.4000,0.0500,4,38400
90,0,128,0,omp_for,gpu_warp32,128,32,40.000000,8.474635,8.474635,15.473906,338.985417,338.985417,0.156250,0.6000,0.4000,0.0500,4,38400
90,0,16,0,omp_for,cpu_scalar,64,1,10.000000,2.499212,2.499212,3.499199,24.992122,24.992122,0.019531,0.6000,0.4000,0.0500,4,307200
90,0,32,0,omp_for,cpu_scalar,64,1,20.000000,4.496836,4.496836,7.496758,89.936719,89.936719,0.039062,0.6000,0.4000,0.0500,4,153600
90,0,32,0,omp_collapse2,gpu_warp32,128,32,10.000000,2.498424,2.498424,3.498398,24.984245,24.984245,0.039062,0.6000,0.4000,0.0500,4,153600
90,0,16,0,omp_for,gpu_scalar,128,1,5.000000,1.499609,1.499609,1.499609,7.498047,7.498047,0.019531,0.6000,0.4000,0.0500,4,307200
90,0,128,0,omp_collapse2,cpu_scalar,64,1,80.000000,16.449219,16.449219,31.447656,1315.937500,1315.937500,0.156250,0.6000,0.4000,0.0500,4,38400
90,0,128,0,omp_collapse2,gpu_warp32,128,32,40.000000,8.474635,8.474635,15.473906,338.985417,338.985417,0.156250,0.6000,0.4000,0.0500,4,38400
90,0,64,0,omp_for,cpu_scalar,64,1,40.000000,8.487318,8.487318,15.486953,339.492708,339.492708,0.078125,0.6000,0.4000,0.0500,4,76800
90,0,32,0,omp_for,gpu_warp32,128,32,10.000000,2.498424,2.498424,3.498398,24.984245,24.984245,0.039062,0.6000,0.4000,0.0500,4,153600
90,0,8,0,omp_for,gpu_scalar,128,1,2.500000,0.749902,0.749902,0.749902,1.874756,1.874756,0.009766,0.6000,0.4000,0.0500,4,614400
90,0,16,0,omp_collapse2,gpu_scalar,128,1,5.000000,1.499609,1.499609,1.499609,7.498047,7.498047,0.019531,0.6000,0.4000,0.0500,4,307200
90,0,8,0,omp_collapse2,gpu_warp32,128,32,2.500000,0.749902,0.749902,0.749902,1.874756,1.874756,0.009766,0.6000,0.4000,0.0500,4,614400
90,0,64,0,omp_collapse2,cpu_avx512,64,8,40.000000,8.487318,8.487318,15.486953,339.492708,339.492708,0.078125,0.6000,0.4000,0.0500,4,76800
90,0,16,0,omp_collapse2,cpu_avx512,64,8,10.000000,2.499212,2.499212,3.499199,24.992122,24.992122,0.019531,0.6000,0.4000,0.0500,4,307200
90,0,64,0,omp_collapse2,gpu_scalar,128,1,20.000000,4.493672,4.493672,7.493516,89.873438,89.873438,0.078125,0.6000,0.4000,0.0500,4,76800
90,0,32,0,omp_for,gpu_scalar,128,1,10.000000,2.498424,2.498424,3.498398,24.984245,24.984245,0.039062,0.6000,0.4000,0.0500,4,153600
90,0,32,0,omp_collapse2,gpu_scalar,128,1,10.000000,2.498424,2.498424,3.498398,24.984245,24.984245,0.039062,0.6000,0.4000,0.0500,4,153600
90,0,8,0,omp_for,gpu_warp32,128,32,2.500000,0.749902,0.749902,0.749902,1.874756,1.874756,0.009766,0.6000,0.4000,0.0500,4,614400
90,0,8,0,omp_collapse2,gpu_scalar,128,1,2.500000,0.749902,0.749902,0.749902,1.874756,1.874756,0.009766,0.6000,0.4000,0.0500,4,614400
90,0,128,0,omp_collapse2,gpu_scalar,128,1,40.000000,8.474635,8.474635,15.473906,338.985417,338.985417,0.156250,0.6000,0.4000,0.0500,4,38400
90,0,8,0,omp_collapse2,cpu_scalar,64,1,5.000000,1.499805,1.499805,1.499805,7.499023,7.499023,0.009766,0.6000,0.4000,0.0500,4,614400
90,0,64,0,omp_collapse2,cpu_scalar,64,1,40.000000,8.487318,8.487318,15.486953,339.492708,339.492708,0.078125,0.6000,0.4000,0.0500,4,76800
90,0,16,0,omp_collapse2,gpu_warp32,128,32,5.000000,1.499609,1.499609,1.499609,7.498047,7.498047,0.019531,0.6000,0.4000,0.0500,4,307200
90,0,8,0,omp_for,cpu_avx512,64,8,5.000000,1.499805,1.499805,1.499805,7.499023,7.499023,0.009766,0.6000,0.4000,0.0500,4,614400
90,0,128,0,omp_for,cpu_avx512,64,8,80.000000,16.449219,16.449219,31.447656,1315.937500,1315.937500,0.156250,0.6000,0.4000,0.0500,4,38400
90,0,64,0,omp_for,gpu_warp32,128,32,20.000000,4.493672,4.493672,7.493516,89.873438,89.873438,0.078125,0.6000,0.4000,0.0500,4,76800
90,0,128,0,omp_collapse2,cpu_avx512,64,8,80.000000,16.449219,16.449219,31.447656,1315.937500,1315.937500,0.156250,0.6000,0.4000,0.0500,4,38400
90,0,64,0,omp_for,cpu_avx512,64,8,40.000000,8.487318,8.487318,15.486953,339.492708,339.492708,0.078125,0.6000,0.4000,0.0500,4,76800
90,0,32,0,omp_for,cpu_avx512,64,8,20.000000,4.496836,4.496836,7.496758,89.936719,89.936719,0.039062,0.6000,0.4000,0.0500,4,153600
90,0,32,0,omp_collapse2,cpu_avx512,64,8,20.000000,4.496836,4.496836,7.496758,89.936719,89.936719,0.039062,0.6000,0.4000,0.0500,4,153600
