backend,V,nlev,N_e,cell_dist,config_label,run_label,run_id,time_ms
gpu,1,256,163840,uniform,V1_bx32_by04,run0,0,0.549162
gpu,1,256,163840,uniform,V1_bx32_by04,run1,1,0.482243
gpu,1,256,163840,uniform,V1_bx32_by04,run2,2,0.474282
gpu,1,256,163840,uniform,V1_bx32_by04,run3,3,0.498343
gpu,1,256,163840,uniform,V1_bx32_by04,run4,4,0.520212
gpu,1,256,163840,uniform,V1_bx32_by04,run5,5,0.535203
gpu,1,256,163840,uniform,V1_bx32_by04,run6,6,0.544663
gpu,1,256,163840,uniform,V1_bx32_by04,run7,7,0.587923
gpu,1,256,163840,uniform,V1_bx32_by04,run8,8,0.550943
gpu,1,256,163840,uniform,V1_bx32_by04,run9,9,0.550013
gpu,1,256,163840,uniform,V1_bx32_by04,run10,10,0.552563
gpu,1,256,163840,uniform,V1_bx32_by04,run11,11,0.557773
gpu,1,256,163840,uniform,V1_bx32_by04,run12,12,0.556763
gpu,1,256,163840,uniform,V1_bx32_by04,run13,13,0.573483
gpu,1,256,163840,uniform,V1_bx32_by04,run14,14,0.567123
gpu,1,256,163840,uniform,V1_bx32_by04,run15,15,0.572444
gpu,1,256,163840,uniform,V1_bx32_by04,run16,16,0.576043
gpu,1,256,163840,uniform,V1_bx32_by04,run17,17,0.578483
gpu,1,256,163840,uniform,V1_bx32_by04,run18,18,0.580603
gpu,1,256,163840,uniform,V1_bx32_by04,run19,19,0.574283
gpu,1,256,163840,uniform,V1_bx32_by04,run20,20,0.580523
gpu,1,256,163840,uniform,V1_bx32_by04,run21,21,0.574603
gpu,1,256,163840,uniform,V1_bx32_by04,run22,22,0.570843
gpu,1,256,163840,uniform,V1_bx32_by04,run23,23,0.574244
gpu,1,256,163840,uniform,V1_bx32_by04,run24,24,0.573283
gpu,1,256,163840,uniform,V1_bx32_by04,run25,25,0.574043
gpu,1,256,163840,uniform,V1_bx32_by04,run26,26,0.571803
gpu,1,256,163840,uniform,V1_bx32_by04,run27,27,0.575883
gpu,1,256,163840,uniform,V1_bx32_by04,run28,28,0.568002
gpu,1,256,163840,uniform,V1_bx32_by04,run29,29,0.567323
gpu,1,256,163840,uniform,V1_bx32_by04,run30,30,0.577883
gpu,1,256,163840,uniform,V1_bx32_by04,run31,31,0.568363
gpu,1,256,163840,uniform,V1_bx32_by04,run32,32,0.571483
gpu,1,256,163840,uniform,V1_bx32_by04,run33,33,0.567003
gpu,1,256,163840,uniform,V1_bx32_by04,run34,34,0.566363
gpu,1,256,163840,uniform,V1_bx32_by04,run35,35,0.571723
gpu,1,256,163840,uniform,V1_bx32_by04,run36,36,0.577363
gpu,1,256,163840,uniform,V1_bx32_by04,run37,37,0.567243
gpu,1,256,163840,uniform,V1_bx32_by04,run38,38,0.567523
gpu,1,256,163840,uniform,V1_bx32_by04,run39,39,0.573443
gpu,1,256,163840,uniform,V1_bx32_by04,run40,40,0.561403
gpu,1,256,163840,uniform,V1_bx32_by04,run41,41,0.573243
gpu,1,256,163840,uniform,V1_bx32_by04,run42,42,0.568083
gpu,1,256,163840,uniform,V1_bx32_by04,run43,43,0.570003
gpu,1,256,163840,uniform,V1_bx32_by04,run44,44,0.570203
gpu,1,256,163840,uniform,V1_bx32_by04,run45,45,0.571163
gpu,1,256,163840,uniform,V1_bx32_by04,run46,46,0.567603
gpu,1,256,163840,uniform,V1_bx32_by04,run47,47,0.573003
gpu,1,256,163840,uniform,V1_bx32_by04,run48,48,0.567163
gpu,1,256,163840,uniform,V1_bx32_by04,run49,49,0.574644
gpu,1,256,163840,uniform,V1_bx32_by04,run50,50,0.572443
gpu,1,256,163840,uniform,V1_bx32_by04,run51,51,0.569724
gpu,1,256,163840,uniform,V1_bx32_by04,run52,52,0.557843
gpu,1,256,163840,uniform,V1_bx32_by04,run53,53,0.559843
gpu,1,256,163840,uniform,V1_bx32_by04,run54,54,0.557283
gpu,1,256,163840,uniform,V1_bx32_by04,run55,55,0.562842
gpu,1,256,163840,uniform,V1_bx32_by04,run56,56,0.563163
gpu,1,256,163840,uniform,V1_bx32_by04,run57,57,0.562043
gpu,1,256,163840,uniform,V1_bx32_by04,run58,58,0.557362
gpu,1,256,163840,uniform,V1_bx32_by04,run59,59,0.569603
