nlev,variant,blocking,tile_y,schedule,target,block_bytes,vector_width,mu,delta,delta_numa,delta_max,mu_delta,mu_delta_numa,l1_ratio,beta,alpha,gamma,P_NUMA,T
90,4,0,0,omp_collapse2,gpu_scalar,128,1,3.125012,8.748539,2.467917,8.748539,27.339290,7.712272,0.000000,0.6000,0.4000,0.0500,4,7368795
90,3,0,0,omp_for,gpu_warp32,128,32,11.375000,1.899537,1.517427,3.450786,21.607232,17.260737,0.000000,0.6000,0.4000,0.0500,4,163840
90,3,0,0,omp_for,cpu_avx512,64,8,5.090909,1.293414,0.808783,1.741464,6.584653,4.117442,0.000000,0.6000,0.4000,0.0500,4,901120
90,4,0,0,omp_for,cpu_avx512,64,8,5.090909,1.293414,0.808783,1.741464,6.584653,4.117442,0.000000,0.6000,0.4000,0.0500,4,901120
90,1,0,0,omp_for,cpu_avx512,64,8,5.000033,1.368103,0.821898,1.368103,6.840561,4.109515,0.000000,0.6000,0.4000,0.0500,4,921600
90,2,0,0,omp_collapse2,cpu_avx512,64,8,5.000432,1.955253,0.562421,2.821701,9.777111,2.812348,0.000000,0.6000,0.4000,0.0500,4,921060
90,1,0,0,omp_collapse2,gpu_warp32,128,32,10.001860,3.409284,0.980715,5.342989,34.099179,9.808947,0.000000,0.6000,0.4000,0.0500,4,230229
90,2,0,0,omp_for,gpu_warp32,128,32,10.000078,2.256403,1.290534,3.256382,22.564205,12.905444,0.000000,0.6000,0.4000,0.0500,4,230400
90,4,0,0,omp_collapse2,gpu_warp32,128,32,100.000765,251.193022,72.155697,418.669041,25119.494349,7215.625665,0.000000,0.6000,0.4000,0.0500,4,230229
90,3,0,0,omp_collapse2,gpu_warp32,128,32,100.000765,251.193022,72.155697,418.669041,25119.494349,7215.625665,0.000000,0.6000,0.4000,0.0500,4,230229
90,1,0,0,omp_for,gpu_scalar,128,1,0.312502,0.085982,0.051465,0.085982,0.026870,0.016083,0.000000,0.6000,0.4000,0.0500,4,7372800
90,4,0,0,omp_collapse2,cpu_scalar,64,1,3.250012,17.197074,4.906007,17.197074,55.890689,15.944581,0.000000,0.6000,0.4000,0.0500,4,7368795
90,3,0,0,omp_collapse2,gpu_scalar,128,1,3.125012,8.748539,2.467917,8.748539,27.339290,7.712272,0.000000,0.6000,0.4000,0.0500,4,7368795
