backend,V,nlev,N_e,cell_dist,config_label,run_label,run_id,time_ms
gpu,1,256,163840,uniform,V1_bx32_by04,run0,0,1.110560
gpu,1,256,163840,uniform,V1_bx32_by04,run1,1,1.106432
gpu,1,256,163840,uniform,V1_bx32_by04,run2,2,1.107424
gpu,1,256,163840,uniform,V1_bx32_by04,run3,3,1.106656
gpu,1,256,163840,uniform,V1_bx32_by04,run4,4,1.105600
gpu,1,256,163840,uniform,V1_bx32_by04,run5,5,1.106208
gpu,1,256,163840,uniform,V1_bx32_by04,run6,6,1.105248
gpu,1,256,163840,uniform,V1_bx32_by04,run7,7,1.105376
gpu,1,256,163840,uniform,V1_bx32_by04,run8,8,1.105312
gpu,1,256,163840,uniform,V1_bx32_by04,run9,9,1.105248
gpu,1,256,163840,uniform,V1_bx32_by04,run10,10,1.105152
gpu,1,256,163840,uniform,V1_bx32_by04,run11,11,1.105344
gpu,1,256,163840,uniform,V1_bx32_by04,run12,12,1.106304
gpu,1,256,163840,uniform,V1_bx32_by04,run13,13,1.106176
gpu,1,256,163840,uniform,V1_bx32_by04,run14,14,1.105472
gpu,1,256,163840,uniform,V1_bx32_by04,run15,15,1.104704
gpu,1,256,163840,uniform,V1_bx32_by04,run16,16,1.104896
gpu,1,256,163840,uniform,V1_bx32_by04,run17,17,1.105280
gpu,1,256,163840,uniform,V1_bx32_by04,run18,18,1.106016
gpu,1,256,163840,uniform,V1_bx32_by04,run19,19,1.104800
gpu,1,256,163840,uniform,V1_bx32_by04,run20,20,1.105280
gpu,1,256,163840,uniform,V1_bx32_by04,run21,21,1.104416
gpu,1,256,163840,uniform,V1_bx32_by04,run22,22,1.105696
gpu,1,256,163840,uniform,V1_bx32_by04,run23,23,1.105760
gpu,1,256,163840,uniform,V1_bx32_by04,run24,24,1.104992
gpu,1,256,163840,uniform,V1_bx32_by04,run25,25,1.104448
gpu,1,256,163840,uniform,V1_bx32_by04,run26,26,1.104768
gpu,1,256,163840,uniform,V1_bx32_by04,run27,27,1.105120
gpu,1,256,163840,uniform,V1_bx32_by04,run28,28,1.104512
gpu,1,256,163840,uniform,V1_bx32_by04,run29,29,1.105312
gpu,1,256,163840,uniform,V1_bx32_by04,run30,30,1.105824
gpu,1,256,163840,uniform,V1_bx32_by04,run31,31,1.104864
gpu,1,256,163840,uniform,V1_bx32_by04,run32,32,1.105472
gpu,1,256,163840,uniform,V1_bx32_by04,run33,33,1.106048
gpu,1,256,163840,uniform,V1_bx32_by04,run34,34,1.104512
gpu,1,256,163840,uniform,V1_bx32_by04,run35,35,1.105184
gpu,1,256,163840,uniform,V1_bx32_by04,run36,36,1.106560
gpu,1,256,163840,uniform,V1_bx32_by04,run37,37,1.104512
gpu,1,256,163840,uniform,V1_bx32_by04,run38,38,1.104736
gpu,1,256,163840,uniform,V1_bx32_by04,run39,39,1.105376
gpu,1,256,163840,uniform,V1_bx32_by04,run40,40,1.104672
gpu,1,256,163840,uniform,V1_bx32_by04,run41,41,1.103744
gpu,1,256,163840,uniform,V1_bx32_by04,run42,42,1.104480
gpu,1,256,163840,uniform,V1_bx32_by04,run43,43,1.104352
gpu,1,256,163840,uniform,V1_bx32_by04,run44,44,1.104640
gpu,1,256,163840,uniform,V1_bx32_by04,run45,45,1.106208
gpu,1,256,163840,uniform,V1_bx32_by04,run46,46,1.105280
gpu,1,256,163840,uniform,V1_bx32_by04,run47,47,1.104960
gpu,1,256,163840,uniform,V1_bx32_by04,run48,48,1.103872
gpu,1,256,163840,uniform,V1_bx32_by04,run49,49,1.104448
gpu,1,256,163840,uniform,V1_bx32_by04,run50,50,1.105792
gpu,1,256,163840,uniform,V1_bx32_by04,run51,51,1.104544
gpu,1,256,163840,uniform,V1_bx32_by04,run52,52,1.104928
gpu,1,256,163840,uniform,V1_bx32_by04,run53,53,1.104288
gpu,1,256,163840,uniform,V1_bx32_by04,run54,54,1.104352
gpu,1,256,163840,uniform,V1_bx32_by04,run55,55,1.105504
gpu,1,256,163840,uniform,V1_bx32_by04,run56,56,1.104160
gpu,1,256,163840,uniform,V1_bx32_by04,run57,57,1.104864
gpu,1,256,163840,uniform,V1_bx32_by04,run58,58,1.104864
gpu,1,256,163840,uniform,V1_bx32_by04,run59,59,1.103712
gpu,1,256,163840,uniform,V1_bx32_by04,run60,60,1.104256
gpu,1,256,163840,uniform,V1_bx32_by04,run61,61,1.104032
gpu,1,256,163840,uniform,V1_bx32_by04,run62,62,1.104448
gpu,1,256,163840,uniform,V1_bx32_by04,run63,63,1.104704
gpu,1,256,163840,uniform,V1_bx32_by04,run64,64,1.103776
gpu,1,256,163840,uniform,V1_bx32_by04,run65,65,1.104480
gpu,1,256,163840,uniform,V1_bx32_by04,run66,66,1.103872
gpu,1,256,163840,uniform,V1_bx32_by04,run67,67,1.103648
gpu,1,256,163840,uniform,V1_bx32_by04,run68,68,1.104000
gpu,1,256,163840,uniform,V1_bx32_by04,run69,69,1.103904
gpu,1,256,163840,uniform,V1_bx32_by04,run70,70,1.104608
gpu,1,256,163840,uniform,V1_bx32_by04,run71,71,1.104800
gpu,1,256,163840,uniform,V1_bx32_by04,run72,72,1.104480
gpu,1,256,163840,uniform,V1_bx32_by04,run73,73,1.104480
gpu,1,256,163840,uniform,V1_bx32_by04,run74,74,1.105376
gpu,1,256,163840,uniform,V1_bx32_by04,run75,75,1.103744
gpu,1,256,163840,uniform,V1_bx32_by04,run76,76,1.103808
gpu,1,256,163840,uniform,V1_bx32_by04,run77,77,1.103872
gpu,1,256,163840,uniform,V1_bx32_by04,run78,78,1.105664
gpu,1,256,163840,uniform,V1_bx32_by04,run79,79,1.103488
gpu,1,256,163840,uniform,V1_bx32_by04,run80,80,1.103616
